ID,PNC,Product,Model,Brand,Approval_Mark,Country_Made_In,EAN13_Code,Product_Address,Color
228,943006343,Gas Cooker,WNGB90JGRX,WHITE WESTINGHOUSE,,Made in Egypt,7332543498741,Electrolux EGYPT,INOX
229,943006344,Gas Cooker,KGW9JATSOL,Kelvinator,,Made in Egypt,7332543498321,Electrolux EGYPT,INOX
230,943006345,Gas Cooker,EKG613A1OX,ELECTROLUX,CM,Made in A.R.E.,7332543526314,Electrolux EGYPT,INOX
231,943006350,Gas Cooker,EKK615A1OX,ELECTROLUX,F1,Made in Egypt,7332543526338,Electrolux EGYPT,INOX
232,943006351,??????? ???,ZCG61236XA,ZANUSSI,E6,??? ?? ?.?.?,7332543526345,Electrolux EGYPT,INOX
233,943006353,??????? ???,ZCG62256XA,ZANUSSI,E6,??? ?? ?.?.?,7332543526352,Electrolux EGYPT,INOX
234,943006355,Gas Cooker,ZCG62256XA,ZANUSSI,,Made in Egypt,7332543535194,Electrolux EGYPT,INOX
235,943006357,Gas Cooker,EKG913A2OX,ELECTROLUX,CM,Made in A.R.E.,7332543526369,Electrolux EGYPT,INOX
236,943006358,??????? ???,EKG913A2OX,ELECTROLUX,E6,??? ?? ???,7332543526376,Electrolux EGYPT,INOX
237,943006360,Gas Cooker,EKG913A4OX,ELECTROLUX,,Made in A.R.E.,7332543526383,Electrolux EGYPT,INOX
238,943006364,Gas Cooker,EKK925A0OX,ELECTROLUX,F1,Made in Egypt,7332543526406,Electrolux EGYPT,INOX
239,943006366,??????? ???,ZCG92296XA,ZANUSSI,E6,??? ?? ?.?.?,7332543526413,Electrolux EGYPT,INOX
240,943006367,Gas Cooker,ZCG92296XA,ZANUSSI,,Made in Egypt,7332543535200,Electrolux EGYPT,INOX
241,943006371,Gas Cooker,FNGD60JGRS,FRIGIDAIRE,,Made in Egypt,7332543535217,Electrolux EGYPT,INOX
242,943006375,Gas Cooker,WNFF90JGRS,WHITE WESTINGHOUSE,G-Mark,Made in Egypt,7332543535231,Electrolux EGYPT,INOX
243,943006377,Gas Cooker,FNGC90JGRS,FRIGIDAIRE,,Made in Egypt,7332543535248,Electrolux EGYPT,INOX
244,943006379,Gas Cooker,FNGE90JGRS,FRIGIDAIRE,E6,Made in Egypt,7332543538096,Electrolux EGYPT,INOX
245,943006380,Gas Cooker,FNFG90JGRS,FRIGIDAIRE,G-Mark,Made in Egypt,7332543535255,Electrolux EGYPT,INOX
